,0,1
0,7,5
1,10,5
2,4,12
3,20,11
4,23,9
5,26,11
6,15,26
7,4,29
8,29,13
9,8,36
10,36,11
11,32,25
12,18,39
13,40,21
14,40,22
15,3,46
16,13,45
17,11,48
18,36,35
19,49,18
20,48,21
21,39,38
22,51,24
23,37,44
24,57,9
25,12,57
26,5,58
27,58,6
28,57,19
29,40,46
30,53,33
31,17,60
32,8,64
33,47,46
34,35,57
35,63,22
36,53,43
37,66,24
38,59,41
39,55,47
40,17,70
41,62,39
42,27,68
43,32,67
44,30,68
45,56,50
46,20,73
47,43,63
48,75,17
49,77,9
50,57,56
51,79,10
52,79,19
53,80,17
54,23,80
55,79,27
56,27,79
57,54,67
58,23,86
59,3,89
60,89,8
61,49,76
62,18,88
63,80,43
64,83,37
65,86,30
66,77,50
67,83,41
68,26,89
69,51,78
70,41,84
71,87,35
72,76,56
73,77,57
74,81,52
75,40,89
76,94,25
77,29,93
78,93,29
79,92,33
80,85,52
81,77,64
82,72,72
83,78,66
84,36,96
85,48,92
86,68,79
87,62,84
88,51,92
89,49,95
90,87,65
91,73,81
92,91,60
93,91,64
94,77,83
95,74,88
96,89,74
97,92,72
98,79,93
99,95,96
