,0,1
0,14,3
1,8,13
2,5,18
3,12,18
4,8,20
5,20,12
6,17,21
7,25,9
8,15,23
9,26,7
10,14,25
11,28,9
12,27,15
13,28,13
14,29,11
15,7,30
16,21,24
17,17,27
18,31,9
19,3,32
20,8,32
21,28,19
22,9,33
23,34,4
24,7,34
25,23,28
26,17,32
27,11,35
28,33,20
29,38,5
30,36,15
31,3,39
32,24,33
33,19,36
34,33,26
35,28,33
36,39,20
37,38,22
38,34,28
39,28,34
40,11,43
41,42,17
42,42,23
43,38,30
44,22,43
45,45,19
46,31,41
47,28,44
48,51,5
49,11,51
50,35,40
51,4,52
52,52,12
53,12,54
54,54,13
55,55,5
56,53,19
57,36,44
58,57,6
59,32,49
60,38,45
61,58,10
62,53,27
63,19,57
64,16,58
65,40,46
66,50,35
67,26,56
68,10,61
69,52,35
70,31,56
71,64,9
72,32,57
73,61,27
74,32,59
75,63,23
76,26,62
77,55,40
78,53,43
79,66,18
80,25,64
81,68,3
82,48,50
83,7,68
84,46,53
85,19,67
86,44,55
87,9,69
88,69,10
89,35,62
90,70,8
91,58,42
92,21,68
93,62,37
94,21,69
95,54,49
96,71,13
97,68,26
98,52,52
99,72,13
100,73,5
101,69,28
102,55,51
103,74,3
104,73,22
105,3,76
106,70,33
107,41,66
108,40,67
109,77,6
110,77,7
111,75,21
112,66,43
113,70,37
114,32,73
115,79,6
116,49,64
117,6,81
118,9,81
119,80,17
120,14,81
121,82,6
122,79,25
123,57,62
124,19,82
125,27,80
126,74,43
127,70,50
128,42,75
129,5,86
130,82,29
131,84,22
132,78,40
133,17,86
134,87,9
135,20,86
136,75,49
137,20,87
138,31,84
139,82,37
140,10,89
141,11,89
142,39,83
143,32,86
144,82,43
145,6,92
146,82,45
147,44,83
148,82,47
149,46,83
150,7,94
151,78,56
152,88,38
153,57,78
154,92,31
155,48,85
156,74,64
157,84,50
158,15,96
159,90,39
160,87,47
161,57,81
162,81,57
163,93,33
164,95,27
165,93,34
166,94,31
167,40,91
168,61,79
169,89,46
170,31,95
171,50,87
172,56,84
173,79,63
174,74,71
175,90,49
176,82,65
177,60,88
178,59,90
179,62,90
180,74,82
181,70,86
182,74,84
183,63,93
184,91,67
185,80,82
186,64,95
187,90,71
188,93,68
189,90,72
190,70,94
191,85,81
192,68,96
193,70,95
194,96,70
195,88,80
196,79,95
197,87,90
198,91,88
199,85,96
