,0,1
0,9,3
1,9,8
2,12,9
3,5,14
4,12,10
5,15,7
6,16,4
7,20,3
8,21,5
9,19,12
10,10,23
11,19,18
12,7,25
13,20,19
14,19,23
15,28,12
16,18,25
17,27,17
18,30,10
19,33,7
20,23,26
21,4,34
22,33,11
23,34,6
24,14,36
25,37,11
26,38,9
27,37,15
28,18,38
29,41,13
30,38,21
31,42,11
32,30,35
33,5,46
34,3,47
35,26,42
36,36,34
37,20,45
38,48,12
39,34,38
40,18,48
41,11,50
42,28,44
43,34,40
44,44,29
45,24,48
46,5,53
47,8,54
48,46,33
49,43,37
50,13,55
51,26,51
52,50,28
53,55,16
54,11,56
55,24,53
56,17,56
57,58,18
58,24,56
59,4,60
60,49,37
61,57,23
62,32,54
63,45,44
64,54,33
65,35,53
66,59,23
67,50,41
68,38,53
69,57,32
70,47,46
71,50,43
72,60,27
73,4,65
74,53,40
75,65,10
76,65,12
77,54,40
78,59,32
79,54,41
80,12,66
81,53,43
82,56,41
83,56,42
84,61,35
85,68,17
86,59,39
87,69,12
88,62,34
89,52,51
90,56,47
91,31,66
92,9,72
93,35,65
94,63,39
95,57,48
96,30,68
97,35,66
98,53,53
99,13,73
100,50,56
101,69,30
102,11,74
103,65,39
104,16,74
105,54,55
106,62,47
107,70,34
108,77,9
109,48,63
110,49,63
111,54,59
112,52,61
113,36,73
114,42,70
115,73,38
116,78,26
117,27,78
118,69,46
119,58,60
120,10,82
121,82,12
122,49,68
123,68,49
124,53,65
125,72,43
126,59,60
127,82,17
128,81,23
129,69,50
130,72,46
131,76,39
132,68,52
133,67,54
134,25,82
135,79,34
136,26,82
137,85,15
138,70,53
139,28,83
140,4,87
141,7,87
142,37,80
143,67,58
144,82,34
145,61,65
146,79,41
147,79,43
148,65,63
149,60,68
150,85,33
151,66,65
152,78,50
153,67,65
154,91,17
155,87,34
156,92,19
157,92,20
158,36,88
159,14,94
160,88,38
161,69,67
162,86,43
163,95,13
164,91,34
165,93,28
166,79,58
167,48,86
168,93,33
169,76,65
170,78,63
171,79,62
172,92,40
173,93,40
174,93,41
175,69,76
176,76,70
177,74,74
178,56,89
179,64,86
180,89,60
181,72,80
182,92,58
183,86,68
184,96,57
185,96,59
186,70,89
187,93,65
188,62,95
189,96,62
190,88,74
191,82,84
192,88,78
193,83,85
194,91,77
195,85,88
196,94,81
197,91,85
198,93,89
199,96,91
