,0,1
0,14,6
1,14,9
2,5,16
3,19,18
4,20,17
5,26,3
6,6,27
7,7,29
8,16,27
9,32,9
10,26,24
11,21,31
12,9,39
13,12,45
14,30,37
15,37,30
16,44,18
17,8,47
18,41,26
19,30,45
20,36,41
21,51,23
22,50,27
23,55,15
24,48,34
25,24,55
26,14,58
27,59,7
28,59,14
29,6,60
30,52,35
31,12,62
32,45,46
33,62,25
34,56,39
35,58,36
36,31,61
37,62,34
38,4,71
39,6,71
40,42,59
41,29,68
42,32,67
43,57,48
44,60,45
45,74,8
46,55,52
47,38,66
48,75,15
49,65,43
50,15,76
51,69,37
52,5,80
53,20,80
54,18,81
55,46,70
56,47,70
57,11,83
58,21,82
59,83,16
60,7,85
61,83,25
62,81,32
63,86,20
64,66,60
65,39,80
66,88,7
67,87,22
68,36,83
69,20,88
70,32,86
71,85,37
72,87,33
73,11,93
74,89,33
75,7,94
76,65,71
77,94,20
78,52,82
79,38,90
80,62,77
81,83,55
82,69,73
83,85,54
84,65,78
85,37,95
86,51,89
87,68,79
88,96,40
89,48,94
90,78,72
91,94,49
92,47,95
93,87,63
94,90,60
95,80,77
96,58,96
97,69,90
98,92,77
99,81,90
