,0,1
0,12,19
1,23,11
2,15,32
3,9,35
4,13,34
5,34,17
6,27,28
7,29,26
8,10,37
9,38,7
10,19,35
11,10,40
12,15,39
13,20,37
14,18,39
15,41,13
16,26,36
17,9,43
18,24,38
19,4,46
20,49,7
21,10,49
22,48,19
23,51,10
24,3,52
25,44,30
26,55,8
27,55,16
28,25,52
29,6,57
30,45,44
31,39,50
32,42,48
33,62,12
34,27,58
35,3,64
36,39,54
37,63,21
38,65,12
39,58,37
40,42,55
41,66,24
42,42,59
43,36,63
44,60,41
45,72,14
46,23,72
47,69,32
48,52,56
49,66,39
50,72,26
51,37,68
52,78,11
53,76,22
54,76,23
55,79,18
56,68,47
57,30,77
58,73,40
59,34,77
60,78,32
61,79,30
62,58,62
63,36,78
64,86,5
65,82,29
66,88,4
67,74,53
68,62,68
69,17,91
70,89,29
71,90,27
72,55,77
73,90,29
74,56,78
75,65,71
76,36,89
77,49,83
78,25,93
79,32,92
80,36,91
81,23,95
82,96,19
83,95,28
84,96,24
85,70,72
86,73,69
87,41,92
88,58,84
89,46,93
90,67,80
91,54,94
92,64,94
93,73,90
94,92,74
95,81,90
96,90,86
97,95,86
98,94,90
99,90,95
